endTime,msPlayed,id
2019-04-22 03:01:00+00:00,162924,4LSkEJ5P5MV0y3PZqw7guJ
2019-04-22 03:02:00+00:00,53519,7bNNzkhKrRgLJcXIkz2Cek
2019-04-22 03:06:00+00:00,235386,0Fcmk5Nk9KntvcLoV9N2aS
2019-04-22 03:10:00+00:00,250800,6ylRKDPOe41x4Gi8c00ulP
2019-04-22 03:14:00+00:00,256200,3PdFzNNYpFUSxjtyCp3igD
2019-04-22 03:19:00+00:00,320880,27AljPd43CqSWA6WptHyIn
2019-04-22 03:23:00+00:00,204800,49mrGrTON4QYZri9gEHSFl
2019-04-22 03:27:00+00:00,252903,65D1dAuRSz4fU9fLgqTNtY
2019-04-22 03:31:00+00:00,236800,3JyM4DjtqJKSVk205G6nUb
2019-04-22 03:36:00+00:00,289600,46lLiBSew5RmxoedLvuukY
2019-04-22 03:39:00+00:00,220826,3cbtYCxg36GOUnnVvpaXHj
2019-04-22 03:43:00+00:00,211265,4XhzxuE7Fi7FX2OBvfFINx
2019-04-22 03:48:00+00:00,280000,3JhV0UP3Qg1zjwazfhnFOa
2019-04-22 03:52:00+00:00,278149,3nHuuKZ0fukl5DoZ6dEs1p
2019-04-22 03:55:00+00:00,171964,5DWaEpFT3vqOrr3fTaOhA6
2019-04-22 04:00:00+00:00,276046,63UHxn5qPd8j6mcvazgc7y
2019-04-22 04:05:00+00:00,307038,6SbJDuS8tak5VlTZPMK4kM
2019-04-22 04:11:00+00:00,337000,7rQKhQshQanggYbFl8rHgw
2019-04-22 04:14:00+00:00,214285,2QIz8myJL3aoZISC9r8Rai
2019-04-22 04:15:00+00:00,65504,6bBAntbHP2JaLFpyeR3b46
2019-04-22 23:42:00+00:00,47600,63UHxn5qPd8j6mcvazgc7y
2019-04-22 23:42:00+00:00,15167,63UHxn5qPd8j6mcvazgc7y
2019-04-22 23:43:00+00:00,15439,7fxJult6siOtjLftBUZY5C
2019-04-22 23:45:00+00:00,129779,63UHxn5qPd8j6mcvazgc7y
2019-04-22 23:47:00+00:00,148760,00M1AMACUteQ9obzkJlpQ6
2019-04-22 23:52:00+00:00,69038,1AY001zik4a6IFFE4ZrV9K
2019-04-22 23:54:00+00:00,97709,6H0G73m1c1NpAPpSxUmrtZ
2019-04-23 00:09:00+00:00,191920,6H0G73m1c1NpAPpSxUmrtZ
2019-04-23 04:17:00+00:00,11420,1p7IP0JMy5fuOdozeoDmnh
2019-04-23 04:17:00+00:00,16810,63UHxn5qPd8j6mcvazgc7y
2019-04-23 04:21:00+00:00,250908,63UHxn5qPd8j6mcvazgc7y
2019-04-23 04:25:00+00:00,230588,2xj0un9bBWgevGg3Brp4DY
2019-04-23 04:29:00+00:00,226115,2RhXvcAoZ8HjsMvI9nB7AH
2019-04-23 04:32:00+00:00,203076,64KZXmYFqipp1jVP23bdip
2019-04-23 04:33:00+00:00,56731,5tPVk414MNG1cNfGjJs1Jr
2019-04-23 04:33:00+00:00,1800,6nVKC0GCQrf9MQSJgYiaEr
2019-04-23 04:36:00+00:00,159600,6t4dlgupIG7tg2t2zYJrT4
2019-04-23 04:40:00+00:00,252120,2wm1zUgiivhD1sG6cKSFUK
2019-04-23 04:42:00+00:00,4498,7ly81CpV44FMrZCJKyZspq
2019-04-23 04:43:00+00:00,6770,5Tzum6abyRqlGk0dElTwoL
2019-04-23 04:43:00+00:00,98860,7AxmT6cBkyLwEnb1IJWtUr
2019-04-23 04:44:00+00:00,1320,2MqtX8a72x6MI2A1viLLgl
2019-04-23 04:47:00+00:00,199797,4WTH6YJwLsltSRKbLaf3AX
2019-04-23 04:50:00+00:00,204878,6aAFA2UDnscyZmhSc7LCxS
2019-04-23 04:54:00+00:00,232288,6HwSAXPapMHNCc845Nm11A
2019-04-23 04:58:00+00:00,240000,0xSyVJJDm38MkniDX44cnd
2019-04-23 05:02:00+00:00,259764,0CrvGq4H7NCB9XBWSBLh63
2019-04-23 05:06:00+00:00,193782,0X3KUQlhGPdAtNwNedVUfG
2019-04-23 05:08:00+00:00,161760,3bOWBlLB8NxHBpMnGgsVPd
2019-04-23 05:12:00+00:00,235212,5z9cFlz7jA44qdr9GT6HNi
2019-04-23 05:15:00+00:00,177230,4meG168uWDr5GJXCMD4xwm
2019-04-23 05:18:00+00:00,203186,2wpPuKxd5SQSw8Af22wWc6
2019-04-23 05:22:00+00:00,208440,6kokXKEbCgKAlkhcJssgh1
2019-04-23 05:27:00+00:00,295473,1SltT96uaxy887m1psaZZ0
2019-04-23 05:27:00+00:00,3980,1vLF6H3BbDGvGMjTUOVew0
2019-04-23 05:27:00+00:00,2690,3UgSQu6WwrXfKKDq019IHE
2019-04-23 05:27:00+00:00,11600,5fKBwqSTuCbnJlCOpeRa3o
2019-04-23 05:27:00+00:00,5930,6baUHUHEuvuLtqWKMVcMAc
2019-04-23 05:27:00+00:00,7160,74Necx530v8kXtXrhqOKHa
2019-04-23 05:27:00+00:00,9450,7fBv7CLKzipRk6EC6TWHOB
2019-04-23 05:28:00+00:00,2050,6kr32AlGspfKtHjVhaAMFo
2019-04-23 05:28:00+00:00,39450,7bICD0oRoc9wdUvNils2T6
2019-04-23 05:32:00+00:00,252446,1Ub9rcXUvnczprybg41gde
2019-04-23 05:36:00+00:00,201776,6NNthW6avpfVJYb6tAPm8C
2019-04-23 05:40:00+00:00,261089,63UHxn5qPd8j6mcvazgc7y
2019-04-23 05:43:00+00:00,199142,4OrLnFkB5Ebct9HNT5xU2i
2019-04-23 05:47:00+00:00,217537,27nYIQyWjyacyr7MGxZIHF
2019-04-23 05:51:00+00:00,257733,5wL742yBgvtbw1IibA3FMJ
2019-04-23 05:52:00+00:00,19643,38n1P4mFuCWKbFSfQT568Z
