id,name,album_id,album_name,artists,duration_ms,popularity
4k6Q7ToZl7uxL9SKridmGf,Only In A Dream,37Z7COq3bZhiyoKe9UGq05,Only In A Dream,"{'40WIa01eubnEVkxUHeDZyF': 'Au5', '1s8cu0X2A5YDwCLRN8AjFa': 'Nytrix'}",328344,41
29DHnkkjNlYhMW6YN6Ed66,In Loving Memory,19FFct3GihJy9CKw9BeVFN,First Opus,{'5qKCgbxBDmDc9Ckgmt4EaN': 'Sinjin Hawke'},217137,12
52xlYCmMaGjiXIGp6xHHTY,Jane,6cf47PpQOInSk5MWl215Gl,7 Day,{'1XwAo9UCt90soyw5V7U6LV': 'Alexander Lewis'},129836,30
6maT3IGNEpVn9ajRtxf7bs,Nev•er Break,7sIa0oG6B3TFs8M1c9SxG5,Jupiter,"{'7g0azP1aJBtmhhOk00SpIM': 'Couros', '6h6jp2XsW3RvXdQs7Pfu4m': 'ALYSS'}",200816,37
5SfNtcZeacegF9JSuqe8HQ,Lose My Cool - Couros Remix,1UG98QDB2VZMhJtYZaRQAA,Lose My Cool (Remixes),"{'0tbeZu9lv8YEKSQ9tZSslu': 'Amber Mark', '7g0azP1aJBtmhhOk00SpIM': 'Couros'}",186202,45
0OBa4wmQFDZx75mEmj2hJU,Cracks,4Qb80gQtXyX1xjCOD8PkOB,Young - EP,{'7g0azP1aJBtmhhOk00SpIM': 'Couros'},191640,47
3N71Jk26wVca2znzviFjiE,Turning,1J3OzqucLDsGASXwXQZzhb,Turning,{'7g0azP1aJBtmhhOk00SpIM': 'Couros'},240195,30
14oTuzcNwzAsBqzv5NRv6U,Lay It On Me (feat. Keiynan Lonsdale),7v5PnPxKBVwKVQ6tytgUzG,Places We Don't Know,"{'1ikID9RZZMvkuBGDWrqajq': 'Kasbo', '0tkkz8CmkHga4YZgSHEDVl': 'Keiynan Lonsdale'}",224412,55
42jG6qZg93rsTuuO4eodx6,Wishlist,0oZQbXychpwEuOouYIMIoD,Wishlist,{'4u5smJBskI6Adzv08PuiUP': 'Kiiara'},190429,41
0xQIWEKeJaYGBqvK4A9PHb,Is This A Thing,204HWMEl3DTW8TO0UyIx6D,Is This A Thing,{'2j8Rhj6E5iiRJFh6DO7e5t': 'OBB'},187203,18
2OMiSxyIucpLdvQG5NYIOR,Sundrip,35pM25bL7NT6iDWIj580hr,Sundrip,{'5IBaWC4oHRu3NBJkWdVWNC': 'Toy Box'},255529,17
0973LU6HDquu15jYwXN2hB,Not Going Away (Feat. Kate Martin),2Vl5iojwDRYuHIVZMBRacP,Not Going Away (Feat. Kate Martin),{'75ZWkZtCldQyrXYMGXgPpK': 'James Crooks'},214555,0
1OppEieGNdItZbE14gLBEv,You Can't Hurry Love,5fpOmAuZaVyEXPlQ4oOqJ6,The Supremes A' Go-Go (Expanded Edition),{'57bUPid8xztkieZfS7OlEV': 'The Supremes'},167933,74
6krNSTegkvGMmdIUOUEQH1,Undercover,4B4in9QlrlYWSHlYSRebdC,SweetSexySavage (Deluxe),{'0cGUm45nv7Z6M6qdXYQGTX': 'Kehlani'},183280,54
46oyOZu0PMiUV0PeezjZmg,Streetlight People,7ekkBMP4dZl1DJQTSpcuVj,Streetlight People,"{'3PXxLuFWYloysK2URVqZzu': ""Sinner's Heist"", '7kXDaUD3imvM6el5qK6tAu': 'Harley Bird'}",213677,47
01UoVh42qPP3qHHTSqKPO8,Hard To Love,7sTP5Nk2rQJpXpPrJFRdyN,Like A Woman,{'4dYQmk5ma04mZ1KJ9KkAQK': 'Kacy Hill'},204666,30
